Samples,Nitrososphaeria,Nanoarchaeia,Acidobacteriae,Blastocatellia,Holophagae,Subgroup 5,Thermoanaerobaculia,Vicinamibacteria,Acidimicrobiia,Actinobacteria,MB-A2-108,Thermoleophilia,Fimbriimonadia,Bacteroidia,Kapabacteria,Bdellovibrionia,Oligoflexia,Anaerolineae,Chloroflexia,Dehalococcoidia,JG30-KF-CM66,KD4-96,Ktedonobacteria,OLB14,TK10,Cyanobacteriia,Sericytochromatia,Vampirivibrionia,Babeliae,Desulfuromonadia,Elusimicrobia,Lineage IIa,Lineage IIb,Fibrobacteria,Bacilli,Clostridia,Desulfitobacteriia,BD2-11 terrestrial group,Gemmatimonadetes,Longimicrobia,S0134 terrestrial group,bacteriap25,Myxococcia,Polyangia,Nitrospiria,Berkelbacteria,Gracilibacteria,Parcubacteria,Saccharimonadia,WWE3,BD7-11,Phycisphaerae,Planctomycetes,vadinHA49,Alphaproteobacteria,Gammaproteobacteria,Spirochaetia,Sumerlaeia,Chlamydiae,Verrucomicrobiae,Watering_Regm
SRR5224546,2.906639e-04,0.000000e+00,3.403674e-01,2.174166e-02,7.615394e-03,1.162656e-03,5.290083e-03,4.243693e-03,1.685850e-03,3.598419e-02,5.813278e-05,8.022323e-03,3.720498e-03,9.405883e-02,1.627718e-03,6.975933e-04,2.964772e-03,3.022904e-03,8.719916e-04,0.000000e+00,3.487967e-04,3.487967e-04,2.179979e-02,0.000000e+00,1.104523e-03,8.719916e-04,0.000000e+00,6.975933e-04,7.557261e-04,0.000000e+00,0.000000e+00,2.906639e-04,2.790373e-03,3.487967e-04,2.069527e-02,2.732240e-03,0.000000e+00,1.162656e-04,4.075108e-02,0.000000e+00,4.650622e-04,3.487967e-04,5.929543e-03,1.680037e-02,9.650041e-03,1.802116e-03,1.162656e-04,1.168469e-02,9.882572e-03,0.000000e+00,0.000000e+00,5.173817e-03,1.162656e-04,0.000000e+00,1.241135e-01,8.772236e-02,0.000000e+00,0.000000e+00,5.813278e-05,9.905825e-02,0
SRR5224547,0.000000e+00,0.000000e+00,2.235410e-01,1.447429e-02,4.747568e-03,9.842520e-04,2.026401e-03,4.342288e-03,1.389532e-03,5.147059e-02,2.315887e-04,9.958314e-03,2.257990e-03,1.459588e-01,1.331635e-03,6.368689e-04,4.631774e-04,1.852710e-03,1.447429e-03,5.789717e-05,0.000000e+00,1.563224e-03,9.900417e-03,2.315887e-04,8.684576e-04,8.105604e-04,1.157943e-04,3.473830e-04,1.157943e-04,1.331635e-03,0.000000e+00,1.736915e-04,2.315887e-04,1.794812e-03,9.958314e-03,1.157943e-03,0.000000e+00,0.000000e+00,2.605373e-02,0.000000e+00,2.894859e-04,3.473830e-04,5.963409e-03,5.743400e-02,7.410838e-03,3.473830e-04,2.894859e-04,1.852710e-03,8.047707e-03,0.000000e+00,5.789717e-05,4.168597e-03,0.000000e+00,0.000000e+00,1.790760e-01,1.550486e-01,3.068550e-03,0.000000e+00,0.000000e+00,5.477073e-02,0
SRR5224548,0.000000e+00,0.000000e+00,3.470288e-02,1.102600e-03,8.124420e-04,0.000000e+00,8.124420e-04,0.000000e+00,4.642526e-04,4.921077e-02,0.000000e+00,0.000000e+00,1.218663e-03,3.340877e-01,0.000000e+00,1.218663e-03,2.901578e-04,1.392758e-03,1.392758e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.571031e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.963788e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.539926e-03,4.642526e-04,3.481894e-04,0.000000e+00,0.000000e+00,1.218663e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.731662e-03,1.038185e-01,0.000000e+00,0.000000e+00,5.803157e-05,0.000000e+00,2.727484e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.111769e-01,1.883705e-01,1.328923e-02,0.000000e+00,0.000000e+00,3.528319e-02,0
SRR5224549,4.052802e-04,0.000000e+00,2.249884e-01,1.343214e-02,4.689671e-03,2.315887e-04,1.140574e-02,1.736915e-03,3.705419e-03,1.298055e-01,0.000000e+00,2.883279e-02,2.605373e-03,5.019685e-02,7.526633e-04,8.684576e-04,1.505327e-03,1.910607e-03,1.389532e-03,0.000000e+00,1.736915e-04,2.894859e-04,4.238073e-02,4.631774e-04,2.257990e-03,1.852710e-03,2.894859e-04,0.000000e+00,0.000000e+00,1.910607e-03,5.789717e-05,1.621121e-03,5.789717e-04,1.157943e-03,8.198240e-02,1.013201e-02,0.000000e+00,0.000000e+00,3.676471e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.771654e-02,2.009032e-02,1.192682e-02,0.000000e+00,0.000000e+00,4.631774e-04,2.721167e-03,0.000000e+00,5.789717e-05,3.937008e-03,5.210746e-04,0.000000e+00,1.661070e-01,7.821908e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.786475e-02,1
SRR5224550,0.0000000000,0.0000000000,0.1411907374,0.0117225847,0.0027718427,0.0006929607,0.0016746550,0.0028295894,0.0025986025,0.2811687937,0.0000000000,0.0202690997,0.0015014148,0.1171681007,0.0006352140,0.0004619738,0.0007507074,0.0030028296,0.0012704279,0.0002887336,0.0000000000,0.0000000000,0.0269099729,0.0002309869,0.0003464803,0.0005197205,0.0000000000,0.0001154934,0.0002309869,0.0017324017,0.0000000000,0.0008662008,0.0004042271,0.0015014148,0.0203268465,0.0032915632,0.0000000000,0.0000000000,0.0241381302,0.0001732402,0.0001154934,0.0000000000,0.0060634059,0.0236184097,0.0061788993,0.0000000000,0.0001732402,0.0001154934,0.0044464977,0.0000000000,0.0000000000,0.0045042444,0.0003464803,0.0000000000,0.1389963620,0.1038863544,0.0000000000,0.0000000000,0.0000000000,0.0407691863,1
SRR5224551,0.000000e+00,0.000000e+00,5.192108e-02,2.769124e-03,6.345910e-04,0.000000e+00,1.269182e-03,1.730703e-04,2.307604e-04,5.795546e-01,0.000000e+00,5.192108e-03,2.884504e-04,9.553479e-02,2.884504e-04,0.000000e+00,8.076612e-04,3.461405e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.711434e-02,0.000000e+00,0.000000e+00,9.807315e-04,5.769009e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.730703e-04,0.000000e+00,1.673013e-03,6.345910e-03,5.192108e-04,0.000000e+00,0.000000e+00,5.019038e-03,0.000000e+00,0.000000e+00,0.000000e+00,9.807315e-04,1.448021e-02,1.730703e-04,0.000000e+00,1.730703e-04,5.769009e-05,8.076612e-04,0.000000e+00,0.000000e+00,2.884504e-04,0.000000e+00,0.000000e+00,7.274720e-02,1.101881e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.921080e-02,1
SRR5224552,0.000000e+00,0.000000e+00,3.074338e-01,2.485660e-02,6.025842e-03,3.476447e-04,5.504375e-03,6.199664e-03,1.216756e-03,4.994496e-02,5.794078e-05,1.141433e-02,4.171736e-03,9.114085e-02,2.491454e-03,8.111710e-04,3.882033e-03,3.766151e-03,2.839098e-03,5.794078e-05,2.317631e-04,1.738224e-04,2.618923e-02,3.476447e-04,8.111710e-04,5.794078e-04,2.317631e-04,2.897039e-04,5.214671e-04,1.564401e-03,1.158816e-04,8.691118e-04,1.854105e-03,7.532302e-04,3.766151e-02,3.244684e-03,1.158816e-04,1.158816e-04,4.559940e-02,5.214671e-04,5.794078e-04,0.000000e+00,2.004751e-02,2.717423e-02,9.444348e-03,5.214671e-04,0.000000e+00,2.027927e-03,1.465902e-02,0.000000e+00,5.794078e-05,2.491454e-03,2.317631e-04,0.000000e+00,1.131584e-01,1.097398e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.591286e-02,0
SRR5224553,0.000000e+00,0.000000e+00,2.086402e-01,2.371702e-02,1.913598e-03,2.261525e-03,3.943172e-03,9.162076e-03,1.333720e-03,2.731226e-02,0.000000e+00,4.407075e-03,1.507683e-03,1.905480e-01,1.913598e-03,1.565671e-03,6.378660e-04,3.537257e-03,1.971586e-03,2.319513e-04,0.000000e+00,0.000000e+00,4.986953e-03,5.798782e-05,9.278052e-04,1.739635e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.159756e-04,1.159756e-04,2.087562e-03,1.101769e-02,5.798782e-04,0.000000e+00,1.739635e-04,3.166135e-02,0.000000e+00,4.059148e-04,0.000000e+00,7.016527e-03,4.615831e-02,6.320673e-03,1.159756e-04,5.798782e-05,1.681647e-03,5.508843e-03,1.739635e-04,0.000000e+00,4.986953e-03,1.159756e-04,0.000000e+00,2.055668e-01,1.313424e-01,2.609452e-03,0.000000e+00,3.479269e-04,5.108727e-02,0
SRR5224554,0.0000000000,0.0000000000,0.0287757238,0.0015695849,0.0000000000,0.0000000000,0.0006394605,0.0000000000,0.0000000000,0.0301127776,0.0000000000,0.0003487967,0.0002325311,0.4545983025,0.0000000000,0.0026159749,0.0001743983,0.0011626555,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022090455,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005231950,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034879665,0.0044180909,0.0000000000,0.0000000000,0.0000000000,0.0025578421,0.0000000000,0.0000000000,0.0000000000,0.0016277177,0.0590047669,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009882572,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2096849204,0.1577142193,0.0115102895,0.0000000000,0.0000000000,0.0260434833,0
SRR5224555,0.0002895529,0.0000000000,0.2668519805,0.0168519805,0.0048644892,0.0008686588,0.0082812138,0.0016794070,0.0051540422,0.0875608061,0.0000000000,0.0298239518,0.0021426917,0.0575052120,0.0008686588,0.0015635858,0.0017952282,0.0016214964,0.0009265694,0.0000000000,0.0003474635,0.0000000000,0.0348042622,0.0004632847,0.0023164234,0.0006949270,0.0000000000,0.0002316423,0.0000000000,0.0084549456,0.0000000000,0.0017373176,0.0005791059,0.0022585129,0.0466180218,0.0070071809,0.0000000000,0.0000000000,0.0339935140,0.0000000000,0.0000000000,0.0000000000,0.0152304841,0.0247857308,0.0134931666,0.0000000000,0.0000000000,0.0004053741,0.0057910586,0.0000000000,0.0003474635,0.0044012045,0.0001737318,0.0000000000,0.1673615937,0.0850706509,0.0000000000,0.0000000000,0.0000000000,0.0547834144,1
