Samples,Nitrososphaerales,Woesearchaeales,Acidobacteriales,Bryobacterales,Solibacterales,Subgroup 13,Subgroup 15,Subgroup 2,11-24,Blastocatellales,DS-100,Pyrinomonadales,Holophagales,Subgroup 7,Thermoanaerobaculales,Subgroup 17,Vicinamibacterales,IMCC26256,Microtrichales,Catenulisporales,Corynebacteriales,Frankiales,Glycomycetales,Kineosporiales,Micrococcales,Micromonosporales,Propionibacteriales,Pseudonocardiales,Streptomycetales,Streptosporangiales,Gaiellales,Solirubrobacterales,Fimbriimonadales,Bacteroidales,Bacteroidetes VC2.1 Bac22,Chitinophagales,Cytophagales,Flavobacteriales,Sphingobacteriales,Kapabacteriales,Bacteriovoracales,Bdellovibrionales,0319-6G20,Oligoflexales,Silvanigrellales,Anaerolineales,Caldilineales,SBR1031,Chloroflexales,Kallotenuales,Thermomicrobiales,S085,B12-WMSP1,C0119,Ktedonobacterales,Chloroplast,Obscuribacterales,Vampirovibrionales,Babeliales,Geobacterales,Lineage IV,MVP-88,Fibrobacterales,Alicyclobacillales,Bacillales,Entomoplasmatales,Lactobacillales,Paenibacillales,Staphylococcales,Thermoactinomycetales,Clostridiales,Gracilibacteraceae,Peptostreptococcales-Tissierellales,Desulfitobacteriales,Gemmatimonadales,Longimicrobiales,Myxococcales,Blfdi19,Haliangiales,mle1-27,MSB-4B10,Polyangiales,Nitrospirales,Candidatus Peregrinibacteria,Candidatus Adlerbacteria,Candidatus Liptonbacteria,Candidatus Nomurabacteria,Candidatus Zambryskibacteria,Saccharimonadales,Phycisphaerales,Tepidisphaerales,Isosphaerales,Pirellulales,Planctomycetales,Acetobacterales,Azospirillales,Caulobacterales,Defluviicoccales,Dongiales,Elsterales,Holosporales,Micavibrionales,Micropepsales,Paracaedibacterales,Parvibaculales,Reyranellales,Rhizobiales,Rhodospirillales,Rickettsiales,Sphingomonadales,Tistrellales,Burkholderiales,Coxiellales,Diplorickettsiales,Enterobacterales,Gammaproteobacteria Incertae Sedis,KF-JG30-C25,Legionellales,Pseudomonadales,R7C24,Salinisphaerales,Steroidobacterales,Xanthomonadales,Spirochaetales,Sumerlaeales,Chlamydiales,Chthoniobacterales,Methylacidiphilales,Opitutales,Pedosphaerales,Verrucomicrobiales,Watering_Regm
SRR5224546,2.964193e-04,0.000000e+00,2.625682e-01,2.940479e-02,5.169552e-02,2.964193e-04,7.114062e-04,2.430638e-03,1.185677e-03,2.098648e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.766184e-03,5.394830e-03,0.000000e+00,4.327721e-03,1.482096e-03,1.185677e-04,5.276263e-03,2.015651e-03,6.817643e-03,0.000000e+00,0.000000e+00,1.659948e-03,8.714726e-03,3.557031e-03,1.956367e-03,6.046953e-03,6.521224e-04,4.564857e-03,3.616315e-03,3.794166e-03,0.000000e+00,8.299739e-04,4.748636e-02,3.592601e-02,0.000000e+00,1.167892e-02,1.659948e-03,0.000000e+00,7.114062e-04,2.845625e-03,1.778516e-04,0.000000e+00,0.000000e+00,2.964193e-04,2.786341e-03,7.114062e-04,0.000000e+00,1.778516e-04,0.000000e+00,0.000000e+00,3.201328e-03,1.903012e-02,8.892578e-04,7.114062e-04,0.000000e+00,7.706901e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.557031e-04,2.964193e-04,1.808157e-02,1.541380e-03,0.000000e+00,1.007825e-03,0.000000e+00,1.778516e-04,2.727057e-03,0.000000e+00,5.928385e-05,0.000000e+00,4.155798e-02,0.000000e+00,6.046953e-03,0.000000e+00,1.013754e-02,0.000000e+00,0.000000e+00,6.995494e-03,9.841119e-03,1.185677e-04,0.000000e+00,2.489922e-03,2.371354e-04,0.000000e+00,1.007825e-02,1.185677e-04,5.157695e-03,0.000000e+00,1.185677e-04,0.000000e+00,6.106237e-03,4.149870e-04,2.727057e-03,0.000000e+00,2.371354e-03,6.639791e-03,0.000000e+00,1.126393e-03,3.628172e-02,1.778516e-04,0.000000e+00,2.371354e-03,2.353569e-02,2.667773e-03,5.394830e-03,3.557031e-02,0.000000e+00,3.687456e-02,1.778516e-04,1.636234e-02,0.000000e+00,1.179749e-02,2.786341e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.928385e-05,8.892578e-04,2.039364e-02,0.000000e+00,0.000000e+00,5.928385e-05,2.964193e-03,0.000000e+00,1.203462e-02,8.584302e-02,0.000000e+00,0
SRR5224547,0.000000e+00,0.000000e+00,1.690018e-01,1.762989e-02,3.689434e-02,0.000000e+00,2.918856e-04,1.576182e-03,2.918856e-04,1.377700e-02,4.086398e-04,1.167542e-04,0.000000e+00,4.786924e-03,2.043199e-03,0.000000e+00,4.378284e-03,1.109165e-03,1.167542e-04,4.436661e-03,1.109165e-03,9.340339e-03,0.000000e+00,1.167542e-04,6.888500e-03,1.056626e-02,5.604203e-03,3.035610e-03,1.009924e-02,7.005254e-04,7.822534e-03,2.218330e-03,2.276708e-03,0.000000e+00,1.342674e-03,5.551664e-02,5.399883e-02,2.043199e-03,3.426737e-02,1.342674e-03,0.000000e+00,6.421483e-04,4.670169e-04,0.000000e+00,0.000000e+00,5.837712e-05,0.000000e+00,1.809691e-03,1.109165e-03,0.000000e+00,3.502627e-04,5.837712e-05,0.000000e+00,2.685347e-03,7.297140e-03,8.172796e-04,3.502627e-04,0.000000e+00,1.167542e-04,1.342674e-03,0.000000e+00,0.000000e+00,1.809691e-03,5.837712e-05,8.581436e-03,1.751313e-04,0.000000e+00,8.172796e-04,0.000000e+00,4.086398e-04,1.167542e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.626970e-02,0.000000e+00,6.012843e-03,0.000000e+00,1.798015e-02,0.000000e+00,0.000000e+00,3.992995e-02,7.472271e-03,2.335085e-04,0.000000e+00,8.172796e-04,4.086398e-04,0.000000e+00,8.114419e-03,4.670169e-04,3.736135e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.720957e-03,1.576182e-03,8.114419e-03,5.837712e-05,1.441915e-02,6.888500e-03,1.167542e-04,4.086398e-04,2.866316e-02,1.167542e-04,0.000000e+00,2.918856e-03,5.341506e-02,1.634559e-03,7.005254e-03,4.769410e-02,0.000000e+00,1.050204e-01,1.167542e-04,2.335085e-03,5.253940e-04,1.220082e-02,4.086398e-04,0.000000e+00,2.335085e-03,3.502627e-04,5.837712e-04,1.926445e-03,3.041448e-02,3.093987e-03,0.000000e+00,0.000000e+00,5.837712e-03,0.000000e+00,1.266783e-02,3.584355e-02,8.756567e-04,0
SRR5224548,0.000000e+00,0.000000e+00,3.255571e-02,5.803157e-04,1.276695e-03,0.000000e+00,0.000000e+00,2.901578e-04,0.000000e+00,1.102600e-03,0.000000e+00,0.000000e+00,0.000000e+00,8.124420e-04,8.124420e-04,0.000000e+00,0.000000e+00,4.642526e-04,0.000000e+00,9.517177e-03,5.803157e-04,1.566852e-03,0.000000e+00,3.481894e-04,9.168988e-03,5.803157e-03,2.321263e-03,1.450789e-03,1.845404e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.218663e-03,0.000000e+00,5.512999e-03,1.068942e-01,1.543640e-01,3.539926e-03,6.377669e-02,0.000000e+00,0.000000e+00,1.218663e-03,0.000000e+00,0.000000e+00,2.901578e-04,0.000000e+00,0.000000e+00,1.392758e-03,1.392758e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.973073e-03,3.597957e-03,0.000000e+00,0.000000e+00,6.963788e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.539926e-03,0.000000e+00,4.062210e-04,5.803157e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.481894e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.218663e-03,0.000000e+00,6.731662e-03,0.000000e+00,1.398561e-02,0.000000e+00,0.000000e+00,8.983287e-02,0.000000e+00,5.803157e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.727484e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.963788e-04,1.874420e-02,0.000000e+00,2.977019e-02,0.000000e+00,0.000000e+00,8.124420e-04,1.694522e-02,1.160631e-04,0.000000e+00,1.218663e-03,9.012303e-02,2.263231e-03,8.240483e-03,4.224698e-02,0.000000e+00,1.171077e-01,0.000000e+00,1.740947e-04,1.566852e-03,1.398561e-02,1.740947e-04,0.000000e+00,2.321263e-03,8.124420e-04,5.222841e-04,8.878830e-03,4.282730e-02,1.328923e-02,0.000000e+00,0.000000e+00,6.383473e-03,0.000000e+00,2.187790e-02,7.021820e-03,0.000000e+00,0
SRR5224549,4.089024e-04,0.000000e+00,9.825340e-02,5.894036e-02,6.945499e-02,0.000000e+00,1.752439e-04,1.752439e-04,0.000000e+00,1.343536e-02,1.168293e-04,0.000000e+00,0.000000e+00,4.731585e-03,1.150768e-02,0.000000e+00,1.752439e-03,1.401951e-03,9.930487e-04,1.401951e-02,4.965243e-03,2.546878e-02,0.000000e+00,0.000000e+00,1.845902e-02,1.390268e-02,1.740756e-02,1.162451e-02,2.254805e-02,2.570244e-03,1.910158e-02,9.988901e-03,2.628658e-03,0.000000e+00,0.000000e+00,3.837841e-02,6.600853e-03,0.000000e+00,5.666219e-03,7.593902e-04,0.000000e+00,8.762194e-04,1.518780e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.504878e-04,1.577195e-03,3.504878e-04,0.000000e+00,1.051463e-03,0.000000e+00,6.425609e-04,1.156610e-02,3.055085e-02,1.869268e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.927683e-03,5.841463e-05,0.000000e+00,1.168293e-03,7.009755e-04,7.331036e-02,0.000000e+00,0.000000e+00,8.178048e-03,0.000000e+00,5.257316e-04,1.022256e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.709329e-02,0.000000e+00,1.787488e-02,0.000000e+00,9.229511e-03,0.000000e+00,0.000000e+00,1.104036e-02,1.203341e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.745487e-03,0.000000e+00,3.972195e-03,5.257316e-04,0.000000e+00,0.000000e+00,2.208073e-02,1.869268e-03,3.154390e-03,0.000000e+00,2.511829e-03,1.045622e-02,2.336585e-04,0.000000e+00,1.793329e-02,1.752439e-04,0.000000e+00,3.037561e-03,6.256207e-02,2.862317e-03,3.154390e-03,3.715170e-02,0.000000e+00,5.683743e-02,1.168293e-04,2.219756e-03,0.000000e+00,5.432560e-03,1.752439e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.577195e-03,1.185817e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.862317e-03,0.000000e+00,3.680122e-03,3.166073e-02,0.000000e+00,1
SRR5224550,0.000000e+00,0.000000e+00,7.150307e-02,2.885618e-02,4.090856e-02,0.000000e+00,2.317766e-04,1.738324e-04,1.738324e-04,1.135705e-02,2.317766e-04,0.000000e+00,0.000000e+00,2.781319e-03,1.680380e-03,1.158883e-04,2.723375e-03,2.375710e-03,0.000000e+00,2.016456e-02,4.635531e-03,1.199444e-02,3.476649e-04,6.953297e-04,1.975895e-02,1.529725e-02,3.094217e-02,7.880403e-03,1.578398e-01,1.245799e-02,9.444895e-03,1.089350e-02,1.506548e-03,0.000000e+00,1.738324e-04,4.960019e-02,4.258894e-02,4.635531e-04,2.474215e-02,6.373856e-04,5.794414e-05,4.056090e-04,7.532738e-04,0.000000e+00,0.000000e+00,2.317766e-04,2.897207e-04,2.491598e-03,9.850504e-04,1.738324e-04,1.158883e-04,2.897207e-04,2.897207e-04,5.272917e-03,2.143933e-02,5.214973e-04,0.000000e+00,1.158883e-04,2.317766e-04,1.738324e-03,0.000000e+00,0.000000e+00,1.506548e-03,2.317766e-03,1.645614e-02,0.000000e+00,5.794414e-05,1.274771e-03,0.000000e+00,2.897207e-04,3.186928e-03,0.000000e+00,1.158883e-04,0.000000e+00,2.422065e-02,1.738324e-04,6.084135e-03,1.158883e-04,7.706571e-03,0.000000e+00,0.000000e+00,1.587669e-02,6.200023e-03,1.738324e-04,0.000000e+00,1.158883e-04,0.000000e+00,0.000000e+00,4.461699e-03,0.000000e+00,4.519643e-03,2.897207e-04,5.794414e-05,0.000000e+00,7.764515e-03,1.680380e-03,3.476649e-03,0.000000e+00,6.895353e-03,3.128984e-03,1.158883e-04,5.794414e-05,2.885618e-02,0.000000e+00,0.000000e+00,2.955151e-03,5.661143e-02,2.201877e-03,3.302816e-03,2.213466e-02,0.000000e+00,6.605632e-02,3.476649e-04,2.201877e-03,5.678526e-03,6.605632e-03,6.373856e-04,0.000000e+00,1.506548e-03,2.317766e-04,0.000000e+00,1.506548e-03,1.946923e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.650481e-03,0.000000e+00,5.388805e-03,3.175339e-02,0.000000e+00,1
SRR5224551,0.000000e+00,0.000000e+00,3.548964e-02,1.032951e-02,6.116914e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.769923e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.347741e-04,1.269548e-03,0.000000e+00,1.731202e-04,2.308269e-04,0.000000e+00,4.881990e-02,2.943043e-03,3.116164e-03,1.211841e-03,0.000000e+00,1.402274e-02,5.078193e-03,2.446766e-02,1.258007e-02,4.147960e-01,5.268625e-02,1.096428e-03,4.097178e-03,2.885337e-04,0.000000e+00,0.000000e+00,3.104622e-02,3.087310e-02,1.038721e-03,3.260430e-02,2.885337e-04,0.000000e+00,0.000000e+00,7.501875e-04,5.770673e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.462404e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.154135e-04,2.481390e-03,2.452536e-02,9.810145e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.673495e-03,4.616539e-04,4.789659e-03,0.000000e+00,4.616539e-04,6.347741e-04,0.000000e+00,0.000000e+00,5.193606e-04,0.000000e+00,0.000000e+00,0.000000e+00,5.020486e-03,0.000000e+00,9.810145e-04,0.000000e+00,5.078193e-03,0.000000e+00,0.000000e+00,9.406198e-03,1.731202e-04,1.731202e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.078943e-04,0.000000e+00,2.885337e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.096428e-03,5.193606e-04,2.827630e-03,0.000000e+00,7.213342e-03,1.269548e-03,0.000000e+00,1.154135e-04,9.059957e-03,0.000000e+00,0.000000e+00,9.810145e-04,2.994980e-02,2.885337e-04,1.846616e-03,1.760055e-02,0.000000e+00,8.425183e-02,1.731202e-04,5.770673e-04,1.419586e-02,3.173870e-03,1.154135e-04,0.000000e+00,2.308269e-04,0.000000e+00,0.000000e+00,1.500375e-03,6.001500e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.788909e-03,0.000000e+00,5.539847e-03,1.188759e-02,0.000000e+00,1
SRR5224552,0.000000e+00,0.000000e+00,2.431292e-01,2.437738e-02,4.172282e-02,2.929974e-04,5.273953e-04,8.789921e-04,4.687958e-04,2.056841e-02,1.757984e-04,3.926165e-03,0.000000e+00,6.094345e-03,5.566950e-03,2.343979e-04,6.035746e-03,7.031937e-04,0.000000e+00,8.203926e-04,2.109581e-03,1.025491e-02,0.000000e+00,5.859947e-05,8.614122e-03,1.347788e-02,5.566950e-03,2.929974e-03,5.449751e-03,1.171989e-03,7.793730e-03,3.750366e-03,4.219162e-03,0.000000e+00,7.031937e-04,4.758277e-02,2.801055e-02,3.515968e-04,1.552886e-02,2.519777e-03,5.859947e-05,7.617931e-04,3.926165e-03,0.000000e+00,0.000000e+00,0.000000e+00,9.961910e-04,2.812775e-03,1.875183e-03,0.000000e+00,9.961910e-04,5.859947e-05,5.859947e-05,2.812775e-03,2.361559e-02,5.859947e-04,2.929974e-04,0.000000e+00,5.273953e-04,1.582186e-03,0.000000e+00,1.171989e-04,7.617931e-04,2.929974e-04,3.539408e-02,0.000000e+00,0.000000e+00,2.168180e-03,0.000000e+00,2.343979e-04,3.105772e-03,0.000000e+00,1.757984e-04,1.171989e-04,4.611778e-02,5.273953e-04,2.027542e-02,0.000000e+00,1.136830e-02,0.000000e+00,0.000000e+00,1.611485e-02,9.551714e-03,0.000000e+00,1.757984e-04,1.757984e-04,5.859947e-05,0.000000e+00,1.482567e-02,5.859947e-05,2.461178e-03,1.171989e-04,0.000000e+00,1.171989e-04,6.621740e-03,1.640785e-03,2.988573e-03,0.000000e+00,4.922356e-03,6.973337e-03,1.171989e-04,1.757984e-04,1.617345e-02,2.343979e-04,0.000000e+00,1.640785e-03,3.123352e-02,1.347788e-03,6.914738e-03,3.135072e-02,5.859947e-05,4.822737e-02,4.687958e-04,2.185760e-02,7.031937e-04,9.434515e-03,9.961910e-04,1.171989e-04,2.226780e-03,0.000000e+00,0.000000e+00,1.119250e-02,1.529446e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.105772e-03,0.000000e+00,5.918547e-03,4.687958e-02,2.929974e-04,0
SRR5224553,0.000000e+00,0.000000e+00,1.629760e-01,1.628588e-02,2.993556e-02,1.171646e-04,2.343292e-04,1.230228e-03,4.686585e-04,2.226128e-02,1.113064e-03,1.171646e-04,0.000000e+00,1.933216e-03,3.983597e-03,0.000000e+00,9.256005e-03,4.100762e-04,0.000000e+00,9.958992e-04,8.787346e-04,2.811951e-03,0.000000e+00,0.000000e+00,4.862332e-03,4.979496e-03,3.807850e-03,1.933216e-03,6.912712e-03,4.100762e-04,3.222027e-03,1.230228e-03,1.523140e-03,0.000000e+00,2.519039e-03,6.695958e-02,5.623902e-02,7.967194e-03,5.881664e-02,1.933216e-03,1.171646e-04,1.464558e-03,6.444054e-04,0.000000e+00,0.000000e+00,5.858231e-04,1.757469e-04,2.811951e-03,1.757469e-03,0.000000e+00,2.343292e-04,2.343292e-04,0.000000e+00,1.113064e-03,3.925015e-03,1.757469e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.108963e-03,4.686585e-04,9.490334e-03,4.100762e-04,0.000000e+00,3.514938e-04,0.000000e+00,4.100762e-04,5.858231e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.198594e-02,0.000000e+00,7.088459e-03,0.000000e+00,1.523140e-02,1.171646e-04,8.787346e-04,3.040422e-02,6.385472e-03,0.000000e+00,0.000000e+00,7.029877e-04,0.000000e+00,0.000000e+00,5.565319e-03,1.757469e-03,3.280609e-03,0.000000e+00,0.000000e+00,1.171646e-04,4.628002e-03,1.347393e-03,8.377270e-03,0.000000e+00,1.839484e-02,8.377270e-03,0.000000e+00,5.272408e-04,2.882250e-02,8.201523e-04,1.757469e-04,4.920914e-03,5.125952e-02,2.987698e-03,6.033978e-03,6.719391e-02,5.858231e-05,9.742238e-02,4.100762e-04,2.519039e-03,9.958992e-04,1.089631e-02,1.581722e-03,0.000000e+00,4.042179e-03,8.201523e-04,2.343292e-04,1.464558e-03,1.218512e-02,2.636204e-03,0.000000e+00,3.514938e-04,5.623902e-03,0.000000e+00,1.312244e-02,2.993556e-02,2.929115e-03,0
SRR5224554,0.000000e+00,0.000000e+00,2.703174e-02,1.743983e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.325311e-04,5.231950e-04,8.138589e-04,0.000000e+00,0.000000e+00,0.000000e+00,6.394605e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.325311e-03,0.000000e+00,4.476224e-03,2.964772e-03,0.000000e+00,0.000000e+00,2.034647e-02,0.000000e+00,3.487967e-04,0.000000e+00,2.325311e-04,0.000000e+00,3.371701e-03,1.825369e-01,1.139984e-01,6.045809e-03,1.486455e-01,0.000000e+00,5.813278e-05,2.557842e-03,1.743983e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.162656e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.394605e-04,1.569585e-03,0.000000e+00,0.000000e+00,5.231950e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.487967e-03,0.000000e+00,8.138589e-04,3.604232e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.557842e-03,0.000000e+00,1.627718e-03,0.000000e+00,1.488199e-02,0.000000e+00,8.719916e-04,4.325078e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.882572e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.325311e-04,2.046274e-02,0.000000e+00,2.377631e-02,6.975933e-04,5.813278e-04,1.743983e-04,1.453319e-02,5.231950e-04,0.000000e+00,0.000000e+00,1.120800e-01,1.453319e-03,5.813278e-03,2.935705e-02,0.000000e+00,1.260319e-01,0.000000e+00,0.000000e+00,8.138589e-04,7.382862e-03,0.000000e+00,0.000000e+00,4.592489e-03,1.162656e-03,4.650622e-04,4.185560e-03,1.307987e-02,1.151029e-02,0.000000e+00,0.000000e+00,9.243111e-03,0.000000e+00,7.324730e-03,8.312987e-03,1.162656e-03,0
SRR5224555,2.924319e-04,0.000000e+00,1.344017e-01,5.907124e-02,7.497953e-02,0.000000e+00,5.263774e-04,5.263774e-04,0.000000e+00,1.684408e-02,1.754591e-04,0.000000e+00,0.000000e+00,4.912855e-03,8.363551e-03,1.754591e-04,1.520646e-03,4.152532e-03,2.924319e-04,1.871564e-03,3.977073e-03,2.269271e-02,0.000000e+00,8.188092e-04,1.421219e-02,9.942683e-03,1.011814e-02,1.093695e-02,1.070301e-02,3.158264e-03,1.906656e-02,1.105392e-02,2.163996e-03,0.000000e+00,0.000000e+00,3.889344e-02,1.000117e-02,0.000000e+00,9.182361e-03,8.772956e-04,0.000000e+00,1.579132e-03,1.813078e-03,0.000000e+00,0.000000e+00,5.848637e-05,2.339455e-04,1.345187e-03,9.357820e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.339455e-04,1.210668e-02,2.280969e-02,7.018365e-04,2.339455e-04,0.000000e+00,0.000000e+00,8.539010e-03,0.000000e+00,0.000000e+00,2.280969e-03,1.403673e-03,4.018014e-02,0.000000e+00,0.000000e+00,4.912855e-03,0.000000e+00,5.848637e-04,7.076851e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.433150e-02,0.000000e+00,1.538192e-02,1.754591e-04,1.198971e-02,3.509182e-04,0.000000e+00,1.251608e-02,1.362732e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.848637e-03,0.000000e+00,4.444964e-03,1.754591e-04,0.000000e+00,0.000000e+00,2.421336e-02,9.942683e-04,2.163996e-03,0.000000e+00,2.397941e-03,9.884197e-03,2.924319e-04,0.000000e+00,3.006200e-02,0.000000e+00,0.000000e+00,2.924319e-03,6.041642e-02,3.392210e-03,3.918587e-03,2.696222e-02,0.000000e+00,5.199439e-02,6.433501e-04,6.433501e-03,5.848637e-05,1.105392e-02,4.094046e-04,0.000000e+00,1.169727e-04,0.000000e+00,0.000000e+00,1.052755e-03,1.351035e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.573400e-03,0.000000e+00,5.088314e-03,4.766639e-02,0.000000e+00,1
