Sample,Plant_Body_Site,Watering_Regm,Isolation_Source
SRR5224546,Soil,Control,Bothriochloa bladhii
SRR5224547,Rhizosphere,Control,Bothriochloa bladhii
SRR5224548,Root,Control,Bothriochloa bladhii
SRR5224549,Soil,Drought,Bothriochloa bladhii
SRR5224550,Rhizosphere,Drought,Bothriochloa bladhii
SRR5224551,Root,Drought,Bothriochloa bladhii
SRR5224552,Soil,Control,Sorghastrum nutans
SRR5224553,Rhizosphere,Control,Sorghastrum nutans
SRR5224554,Root,Control,Sorghastrum nutans
SRR5224555,Soil,Drought,Solanum lycopersicum
SRR5224556,Rhizosphere,Drought,Solanum lycopersicum
SRR5224557,Root,Drought,Solanum lycopersicum
SRR5224558,Soil,Control,Brachypodium distachyon
SRR5224559,Rhizosphere,Control,Brachypodium distachyon
SRR5224560,Root,Control,Brachypodium distachyon
SRR5224561,Soil,Control,Avena sativa
SRR5224562,Rhizosphere,Control,Avena sativa
SRR5224563,Root,Control,Avena sativa
SRR5224564,Soil,Drought,Avena sativa
SRR5224565,Rhizosphere,Drought,Avena sativa
SRR5224566,Root,Drought,Avena sativa
SRR5224567,Soil,Control,Sorghum bicolor
SRR5224568,Rhizosphere,Control,Sorghum bicolor
SRR5224569,Root,Control,Sorghum bicolor
SRR5224570,Soil,Drought,Sorghum bicolor
SRR5224571,Rhizosphere,Drought,Sorghum bicolor
SRR5224572,Root,Drought,Sorghum bicolor
SRR5224573,Soil,Control,Triticum monococcum
SRR5224574,Rhizosphere,Control,Triticum monococcum
SRR5224575,Root,Control,Triticum monococcum
SRR5224576,Soil,Drought,Triticum monococcum
SRR5224577,Rhizosphere,Drought,Triticum monococcum
SRR5224578,Root,Drought,Triticum monococcum
SRR5224579,Soil,Control,Secale cereale
SRR5224580,Rhizosphere,Control,Secale cereale
SRR5224581,Root,Control,Secale cereale
SRR5224582,Soil,Drought,Secale cereale
SRR5224583,Rhizosphere,Drought,Secale cereale
SRR5224584,Root,Drought,Secale cereale
SRR5224585,Soil,Control,Solanum lycopersicum
SRR5224586,Rhizosphere,Control,Solanum lycopersicum
SRR5224587,Root,Control,Solanum lycopersicum
SRR5224588,Soil,Control,Triticum aestivum
SRR5224589,Rhizosphere,Control,Triticum aestivum
SRR5224590,Root,Control,Triticum aestivum
SRR5224591,Soil,Drought,Triticum aestivum
SRR5224592,Rhizosphere,Drought,Triticum aestivum
SRR5224593,Root,Drought,Triticum aestivum
SRR5224594,Soil,Control,Sorghum bicolor
SRR5224595,Rhizosphere,Control,Sorghum bicolor
SRR5224596,Root,Control,Sorghum bicolor
SRR5224597,Soil,Drought,Sorghum bicolor
SRR5224598,Rhizosphere,Drought,Sorghum bicolor
SRR5224599,Root,Drought,Sorghum bicolor
SRR5224600,Soil,Control,Triticum turgidum
SRR5224601,Rhizosphere,Control,Triticum turgidum
SRR5224602,Root,Control,Triticum turgidum
SRR5224603,Rhizosphere,Drought,Triticum turgidum
SRR5224604,Root,Drought,Triticum turgidum
SRR5224605,Soil,Control,Hordeum vulgare
SRR5224606,Rhizosphere,Control,Hordeum vulgare
SRR5224607,Root,Control,Hordeum vulgare
SRR5224608,Soil,Drought,Hordeum vulgare
SRR5224609,Rhizosphere,Drought,Hordeum vulgare
SRR5224610,Root,Drought,Hordeum vulgare
SRR5224611,Soil,Control,Sorghum laxiflorum
SRR5224612,Rhizosphere,Control,Sorghum laxiflorum
SRR5224613,Root,Control,Sorghum laxiflorum
SRR5224614,Soil,Drought,Sorghum laxiflorum
SRR5224615,Rhizosphere,Drought,Sorghum laxiflorum
SRR5224616,Root,Drought,Sorghum laxiflorum
SRR5224617,Soil,Control,Triticum aestivum
SRR5224618,Rhizosphere,Control,Triticum aestivum
SRR5224619,Root,Control,Triticum aestivum
SRR5224620,Rhizosphere,Drought,Triticum aestivum
SRR5224621,Root,Drought,Triticum aestivum
