Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224546,0.0002884172,0.0000000000,0.3774803876,0.0453968620,0.0036917397,0.0949469312,0.0036340563,0.0272842640,0.0015574527,0.0007498846,0.0000000000,0.0030572220,0.0003461006,0.0237655745,0.0410129211,0.0229003230,0.0095754499,0.0296492847,0.0052491924,0.2101984310,0.0003461006,0.0003461006,0.0000000000,0.0000000000,0.0983502538,0.0001730503,0
SRR5224547,0.0000000000,0.0000000000,0.2495234795,0.0629007104,0.0022526425,0.1469416046,0.0010974412,0.0158840178,0.0012707214,0.0001155201,0.0015017617,0.0004043205,0.0017905620,0.0123606538,0.0262808294,0.0635938312,0.0073932883,0.0112054526,0.0042164847,0.3333333333,0.0000000000,0.0002310403,0.0030612834,0.0000000000,0.0546410212,0.0000000000,0
SRR5224548,0.0000000000,0.0000000000,0.0373199097,0.0495284383,0.0012150668,0.3331018920,0.0015043685,0.0083318868,0.0006943239,0.0000000000,0.0000000000,0.0000000000,0.0035294798,0.0037609211,0.0012150668,0.1102239195,0.0000000000,0.0027772956,0.0000000000,0.3983683388,0.0000000000,0.0000000000,0.0132500145,0.0000000000,0.0351790777,0.0000000000,0
SRR5224549,0.0004042738,0.0000000000,0.2558475310,0.1619405140,0.0025989027,0.0508229859,0.0023678891,0.0488016171,0.0021368755,0.0000000000,0.0019058620,0.0022523823,0.0011550679,0.0918856483,0.0366734046,0.0377129656,0.0118971990,0.0031764366,0.0045047647,0.2440080855,0.0009818077,0.0000000000,0.0000000000,0.0000000000,0.0377707190,0.0011550679,1
SRR5224550,0.000000e+00,0.000000e+00,1.607339e-01,3.037558e-01,1.500029e-03,1.176946e-01,1.211562e-03,3.201985e-02,6.346276e-04,2.307737e-04,1.788496e-03,1.269255e-03,1.500029e-03,2.423124e-02,2.440432e-02,2.965442e-02,6.173196e-03,4.730860e-03,4.846247e-03,2.426585e-01,1.730803e-04,5.769342e-05,0.000000e+00,0.000000e+00,4.073155e-02,0.000000e+00,1
SRR5224551,0.0000000000,0.0000000000,0.0567179665,0.5844717275,0.0002882010,0.0957403885,0.0008069629,0.0274367399,0.0010375238,0.0000000000,0.0000000000,0.0001729206,0.0016715661,0.0074932273,0.0050146983,0.0154475762,0.0001729206,0.0010375238,0.0002882010,0.1827771053,0.0000000000,0.0002305608,0.0000000000,0.0000000000,0.0191941899,0.0000000000,1
SRR5224552,0.0000000000,0.0000000000,0.3493558264,0.0624530591,0.0041596857,0.0933618349,0.0046796464,0.0344907274,0.0010976948,0.0005199607,0.0015598821,0.0028308972,0.0007510544,0.0428100988,0.0466809174,0.0470853313,0.0094170663,0.0171587036,0.0027731238,0.2223120920,0.0005199607,0.0002310937,0.0000000000,0.0000000000,0.0557513432,0.0000000000,0
SRR5224553,0.0000000000,0.0000000000,0.2489734544,0.0329651264,0.0015036724,0.1919495691,0.0021976751,0.0116823781,0.0001735007,0.0000000000,0.0004626684,0.0002313342,0.0020820080,0.0135330519,0.0321554566,0.0530333700,0.0063038575,0.0077496964,0.0050893528,0.3360129547,0.0000000000,0.0000000000,0.0026025100,0.0000000000,0.0512983633,0.0000000000,0
SRR5224556,0.0000000000,0.0000000000,0.1519381634,0.3041070605,0.0029995385,0.1442085833,0.0024803876,0.0233617905,0.0012113521,0.0002307337,0.0005191509,0.0003461006,0.0007498846,0.0251499769,0.0163244116,0.0235348408,0.0051915090,0.0042108906,0.0020189202,0.2495962160,0.0000000000,0.0001730503,0.0000000000,0.0000000000,0.0415320720,0.0001153669,1
SRR5224557,0.000000e+00,0.000000e+00,9.698649e-03,5.154717e-01,0.000000e+00,1.301813e-01,0.000000e+00,5.426625e-03,5.773005e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.676134e-03,5.773005e-04,2.713313e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.224224e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.774968e-03,0.000000e+00,1
