Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,Watering_Regm
SRR5224549,4.052802e-04,0.000000e+00,2.249884e-01,1.343214e-02,4.689671e-03,2.315887e-04,1.140574e-02,1.736915e-03,3.705419e-03,1.298055e-01,0.000000e+00,2.883279e-02,2.605373e-03,5.019685e-02,7.526633e-04,8.684576e-04,1.505327e-03,1.910607e-03,1.389532e-03,0.000000e+00,1.736915e-04,2.894859e-04,4.238073e-02,4.631774e-04,2.257990e-03,1.852710e-03,2.894859e-04,0.000000e+00,0.000000e+00,1.910607e-03,5.789717e-05,1.621121e-03,5.789717e-04,1.157943e-03,8.198240e-02,1.013201e-02,0.000000e+00,0.000000e+00,3.676471e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.771654e-02,2.009032e-02,1.192682e-02,0.000000e+00,0.000000e+00,4.631774e-04,2.721167e-03,0.000000e+00,5.789717e-05,3.937008e-03,5.210746e-04,0.000000e+00,1.661070e-01,7.821908e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.786475e-02,1
SRR5224550,0.0000000000,0.0000000000,0.1411907374,0.0117225847,0.0027718427,0.0006929607,0.0016746550,0.0028295894,0.0025986025,0.2811687937,0.0000000000,0.0202690997,0.0015014148,0.1171681007,0.0006352140,0.0004619738,0.0007507074,0.0030028296,0.0012704279,0.0002887336,0.0000000000,0.0000000000,0.0269099729,0.0002309869,0.0003464803,0.0005197205,0.0000000000,0.0001154934,0.0002309869,0.0017324017,0.0000000000,0.0008662008,0.0004042271,0.0015014148,0.0203268465,0.0032915632,0.0000000000,0.0000000000,0.0241381302,0.0001732402,0.0001154934,0.0000000000,0.0060634059,0.0236184097,0.0061788993,0.0000000000,0.0001732402,0.0001154934,0.0044464977,0.0000000000,0.0000000000,0.0045042444,0.0003464803,0.0000000000,0.1389963620,0.1038863544,0.0000000000,0.0000000000,0.0000000000,0.0407691863,1
SRR5224560,0.000000e+00,0.000000e+00,9.601481e-03,7.287871e-03,0.000000e+00,0.000000e+00,5.205622e-04,4.627220e-04,5.784025e-04,1.137139e-01,0.000000e+00,2.371450e-03,4.338018e-03,3.444965e-01,0.000000e+00,2.140089e-03,0.000000e+00,4.974261e-03,2.313610e-04,0.000000e+00,0.000000e+00,0.000000e+00,7.519232e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.544971e-03,1.330326e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.255770e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.007693e-03,4.748684e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.399734e-02,0.000000e+00,0.000000e+00,4.627220e-04,0.000000e+00,0.000000e+00,2.217595e-01,1.820811e-01,5.205622e-04,5.784025e-05,0.000000e+00,3.302678e-02,0
SRR5224563,0.0000000000,0.0000000000,0.0306293787,0.0059637543,0.0004053037,0.0000000000,0.0004053037,0.0002895026,0.0042267385,0.3120838400,0.0000000000,0.0039951364,0.0014475132,0.1760176018,0.0001737016,0.0006369058,0.0001737016,0.0030108274,0.0018528169,0.0000000000,0.0000000000,0.0000000000,0.0243761218,0.0000000000,0.0001737016,0.0002316021,0.0000000000,0.0001737016,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009843090,0.0012159111,0.0000000000,0.0000000000,0.0000000000,0.0017949163,0.0000000000,0.0000000000,0.0000000000,0.0026634242,0.0773551039,0.0003474032,0.0000000000,0.0000000000,0.0000000000,0.0077586706,0.0000000000,0.0000000000,0.0002895026,0.0000000000,0.0000000000,0.1717908633,0.1536679984,0.0002316021,0.0000000000,0.0000000000,0.0156331423,0
SRR5224566,0.0000000000,0.0000000000,0.0067462377,0.0008072421,0.0000000000,0.0000000000,0.0004612812,0.0000000000,0.0004036211,0.4683157470,0.0000000000,0.0009225624,0.0006342617,0.1195294932,0.0000000000,0.0015568241,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119933114,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005189414,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008072421,0.0010378827,0.0000000000,0.0000000000,0.0000000000,0.0002306406,0.0000000000,0.0000000000,0.0000000000,0.0002883008,0.0219108574,0.0000000000,0.0000000000,0.0001153203,0.0000000000,0.0020181053,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1240269850,0.2285648388,0.0000000000,0.0000000000,0.0000000000,0.0091103039,1
SRR5224572,0.0000000000,0.0000000000,0.0384482361,0.0024786719,0.0008070095,0.0000000000,0.0006340789,0.0000000000,0.0000000000,0.6452617016,0.0000000000,0.0097994005,0.0000000000,0.0430020752,0.0000000000,0.0002882177,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0040350473,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003458612,0.0054761356,0.0005187918,0.0000000000,0.0000000000,0.0075513027,0.0000000000,0.0000000000,0.0000000000,0.0017869495,0.0168319115,0.0005187918,0.0000000000,0.0000000000,0.0000000000,0.0013834448,0.0000000000,0.0000000000,0.0009799401,0.0000000000,0.0000000000,0.1445123357,0.0644454692,0.0000000000,0.0000000000,0.0000000000,0.0108946276,1
SRR5224578,0.000000e+00,0.000000e+00,6.521990e-03,2.943553e-03,0.000000e+00,0.000000e+00,5.194505e-04,1.154335e-04,9.811843e-04,3.383354e-01,0.000000e+00,1.212051e-03,4.040171e-04,2.044904e-01,5.771673e-05,4.040171e-04,0.000000e+00,1.846935e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.811843e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.617338e-04,2.943553e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.154335e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.771673e-04,2.412559e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.558352e-03,0.000000e+00,0.000000e+00,2.308669e-04,0.000000e+00,0.000000e+00,2.418908e-01,1.605679e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.676325e-03,1
SRR5224583,0.000000e+00,0.000000e+00,7.961434e-02,7.389874e-03,2.309335e-04,4.618671e-04,3.752670e-03,1.270135e-03,2.482536e-03,1.353848e-01,0.000000e+00,1.518388e-02,8.660008e-04,9.681889e-02,2.309335e-04,4.041337e-04,0.000000e+00,1.327868e-03,6.928006e-04,0.000000e+00,0.000000e+00,2.309335e-04,1.056521e-02,4.618671e-04,6.350673e-04,1.616535e-03,2.886669e-04,0.000000e+00,0.000000e+00,8.544541e-03,5.773339e-05,1.732002e-04,1.732002e-04,1.674268e-03,1.789735e-02,3.579470e-03,0.000000e+00,0.000000e+00,1.385601e-02,0.000000e+00,0.000000e+00,5.773339e-05,5.888805e-03,1.039201e-02,5.196005e-03,5.773339e-05,0.000000e+00,0.000000e+00,2.020669e-03,0.000000e+00,0.000000e+00,1.905202e-03,0.000000e+00,0.000000e+00,3.028693e-01,2.345708e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.117603e-02,1
SRR5224590,0.000000e+00,0.000000e+00,5.197962e-02,1.215559e-02,0.000000e+00,0.000000e+00,1.389210e-03,1.562862e-03,3.820329e-03,1.733040e-01,0.000000e+00,5.672609e-03,3.241491e-03,2.506946e-01,1.736513e-04,9.261403e-04,1.736513e-04,1.736513e-03,1.215559e-03,0.000000e+00,0.000000e+00,0.000000e+00,9.029868e-03,0.000000e+00,1.157675e-04,4.225515e-03,5.788377e-05,1.736513e-04,0.000000e+00,7.524890e-04,0.000000e+00,1.736513e-04,1.157675e-04,5.209539e-04,3.299375e-03,2.315351e-04,0.000000e+00,0.000000e+00,7.235471e-03,0.000000e+00,5.209539e-04,0.000000e+00,2.604770e-03,6.332484e-02,0.000000e+00,0.000000e+00,2.315351e-04,0.000000e+00,1.707571e-02,0.000000e+00,0.000000e+00,2.025932e-03,0.000000e+00,0.000000e+00,2.454272e-01,1.023964e-01,0.000000e+00,2.894188e-04,0.000000e+00,3.212549e-02,0
SRR5224600,0.000000e+00,0.000000e+00,2.766869e-01,1.256878e-02,1.627570e-02,8.108891e-04,3.996525e-03,2.548509e-03,1.853461e-03,5.629887e-02,0.000000e+00,1.656531e-02,2.432667e-03,7.280626e-02,9.267304e-04,8.108891e-04,2.143064e-03,3.127715e-03,1.621778e-03,0.000000e+00,4.054445e-04,0.000000e+00,3.909644e-02,1.737619e-04,1.216334e-03,9.267304e-04,0.000000e+00,4.054445e-04,1.448016e-03,0.000000e+00,5.792065e-05,8.108891e-04,1.795540e-03,2.200985e-03,5.537214e-02,1.390096e-03,0.000000e+00,0.000000e+00,4.361425e-02,0.000000e+00,0.000000e+00,0.000000e+00,6.776716e-03,2.560093e-02,8.398494e-03,2.316826e-04,0.000000e+00,5.212858e-03,1.407472e-02,0.000000e+00,5.792065e-05,6.892557e-03,2.896032e-04,0.000000e+00,1.402838e-01,1.030988e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.869389e-02,0
