Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,Watering_Regm
SRR5224549,4.089024e-04,0.000000e+00,9.825340e-02,5.894036e-02,6.945499e-02,0.000000e+00,1.752439e-04,1.752439e-04,0.000000e+00,1.343536e-02,1.168293e-04,0.000000e+00,0.000000e+00,4.731585e-03,1.150768e-02,0.000000e+00,1.752439e-03,1.401951e-03,9.930487e-04,1.401951e-02,4.965243e-03,2.546878e-02,0.000000e+00,0.000000e+00,1.845902e-02,1.390268e-02,1.740756e-02,1.162451e-02,2.254805e-02,2.570244e-03,1.910158e-02,9.988901e-03,2.628658e-03,0.000000e+00,0.000000e+00,3.837841e-02,6.600853e-03,0.000000e+00,5.666219e-03,7.593902e-04,0.000000e+00,8.762194e-04,1.518780e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.504878e-04,1.577195e-03,3.504878e-04,0.000000e+00,1.051463e-03,0.000000e+00,6.425609e-04,1.156610e-02,3.055085e-02,1.869268e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.927683e-03,5.841463e-05,0.000000e+00,1.168293e-03,7.009755e-04,7.331036e-02,0.000000e+00,0.000000e+00,8.178048e-03,0.000000e+00,5.257316e-04,1.022256e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.709329e-02,0.000000e+00,1.787488e-02,0.000000e+00,9.229511e-03,0.000000e+00,0.000000e+00,1.104036e-02,1.203341e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.745487e-03,0.000000e+00,3.972195e-03,5.257316e-04,0.000000e+00,0.000000e+00,2.208073e-02,1.869268e-03,3.154390e-03,0.000000e+00,2.511829e-03,1.045622e-02,2.336585e-04,0.000000e+00,1.793329e-02,1.752439e-04,0.000000e+00,3.037561e-03,6.256207e-02,2.862317e-03,3.154390e-03,3.715170e-02,0.000000e+00,5.683743e-02,1.168293e-04,2.219756e-03,0.000000e+00,5.432560e-03,1.752439e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.577195e-03,1.185817e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.862317e-03,0.000000e+00,3.680122e-03,3.166073e-02,0.000000e+00,1
SRR5224550,0.000000e+00,0.000000e+00,7.150307e-02,2.885618e-02,4.090856e-02,0.000000e+00,2.317766e-04,1.738324e-04,1.738324e-04,1.135705e-02,2.317766e-04,0.000000e+00,0.000000e+00,2.781319e-03,1.680380e-03,1.158883e-04,2.723375e-03,2.375710e-03,0.000000e+00,2.016456e-02,4.635531e-03,1.199444e-02,3.476649e-04,6.953297e-04,1.975895e-02,1.529725e-02,3.094217e-02,7.880403e-03,1.578398e-01,1.245799e-02,9.444895e-03,1.089350e-02,1.506548e-03,0.000000e+00,1.738324e-04,4.960019e-02,4.258894e-02,4.635531e-04,2.474215e-02,6.373856e-04,5.794414e-05,4.056090e-04,7.532738e-04,0.000000e+00,0.000000e+00,2.317766e-04,2.897207e-04,2.491598e-03,9.850504e-04,1.738324e-04,1.158883e-04,2.897207e-04,2.897207e-04,5.272917e-03,2.143933e-02,5.214973e-04,0.000000e+00,1.158883e-04,2.317766e-04,1.738324e-03,0.000000e+00,0.000000e+00,1.506548e-03,2.317766e-03,1.645614e-02,0.000000e+00,5.794414e-05,1.274771e-03,0.000000e+00,2.897207e-04,3.186928e-03,0.000000e+00,1.158883e-04,0.000000e+00,2.422065e-02,1.738324e-04,6.084135e-03,1.158883e-04,7.706571e-03,0.000000e+00,0.000000e+00,1.587669e-02,6.200023e-03,1.738324e-04,0.000000e+00,1.158883e-04,0.000000e+00,0.000000e+00,4.461699e-03,0.000000e+00,4.519643e-03,2.897207e-04,5.794414e-05,0.000000e+00,7.764515e-03,1.680380e-03,3.476649e-03,0.000000e+00,6.895353e-03,3.128984e-03,1.158883e-04,5.794414e-05,2.885618e-02,0.000000e+00,0.000000e+00,2.955151e-03,5.661143e-02,2.201877e-03,3.302816e-03,2.213466e-02,0.000000e+00,6.605632e-02,3.476649e-04,2.201877e-03,5.678526e-03,6.605632e-03,6.373856e-04,0.000000e+00,1.506548e-03,2.317766e-04,0.000000e+00,1.506548e-03,1.946923e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.650481e-03,0.000000e+00,5.388805e-03,3.175339e-02,0.000000e+00,1
SRR5224560,0.000000e+00,0.000000e+00,9.316051e-03,2.893184e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.290823e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.207731e-04,0.000000e+00,4.629094e-04,0.000000e+00,3.471820e-04,6.943641e-04,2.314547e-04,0.000000e+00,0.000000e+00,3.413957e-03,1.406087e-02,3.471820e-02,5.959958e-03,6.191413e-03,4.848976e-02,0.000000e+00,9.836824e-04,1.388728e-03,4.339775e-03,0.000000e+00,0.000000e+00,1.458743e-01,1.169425e-01,1.521815e-02,6.660109e-02,0.000000e+00,0.000000e+00,2.140956e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.976276e-03,2.314547e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.207731e-04,2.314547e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.546002e-03,0.000000e+00,5.207731e-04,8.100914e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.256683e-03,0.000000e+00,3.008911e-03,0.000000e+00,1.001042e-02,0.000000e+00,4.629094e-04,3.703275e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.400301e-02,1.157273e-04,3.471820e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.157273e-04,2.025229e-02,0.000000e+00,1.244069e-02,1.157273e-04,4.629094e-04,1.157273e-04,5.902095e-03,0.000000e+00,0.000000e+00,7.522278e-04,1.288624e-01,9.836824e-04,4.629094e-03,4.704317e-02,0.000000e+00,1.313505e-01,0.000000e+00,5.786367e-05,1.909501e-03,7.753732e-03,0.000000e+00,0.000000e+00,1.498669e-02,2.893184e-04,1.157273e-04,5.902095e-03,1.978938e-02,5.207731e-04,5.786367e-05,0.000000e+00,5.323458e-03,0.000000e+00,1.955792e-02,5.323458e-03,2.835320e-03,0
SRR5224563,0.0000000000,0.0000000000,0.0267029657,0.0018535681,0.0019694161,0.0000000000,0.0000000000,0.0001158480,0.0000000000,0.0059661724,0.0000000000,0.0000000000,0.0000000000,0.0004054680,0.0004054680,0.0000000000,0.0002896200,0.0000000000,0.0042284523,0.0181881372,0.0018535681,0.0064874884,0.0004054680,0.0015060241,0.0363762743,0.0532900834,0.0077618165,0.0302942539,0.1554101019,0.0006371640,0.0021431881,0.0018535681,0.0014481001,0.0000000000,0.0000000000,0.0599513438,0.0390407785,0.0012164041,0.0758804449,0.0001737720,0.0000000000,0.0006371640,0.0000579240,0.0000000000,0.0001158480,0.0000000000,0.0000000000,0.0030120482,0.0017956441,0.0000000000,0.0000579240,0.0000000000,0.0000000000,0.0039388323,0.0204471733,0.0002316960,0.0000000000,0.0001737720,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009847081,0.0000000000,0.0012164041,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017956441,0.0000000000,0.0026645042,0.0000000000,0.0110634847,0.0000000000,0.0006371640,0.0656858202,0.0003475440,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0077618165,0.0000000000,0.0002896200,0.0000000000,0.0000000000,0.0000000000,0.0002896200,0.0004633920,0.0253127896,0.0000000000,0.0060240964,0.0001737720,0.0000579240,0.0000000000,0.0063716404,0.0000000000,0.0000000000,0.0006371640,0.0652224282,0.0000000000,0.0020273401,0.0652803522,0.0000000000,0.0970806302,0.0000000000,0.0002316960,0.0057344764,0.0099050046,0.0000000000,0.0000000000,0.0048656163,0.0000000000,0.0001737720,0.0009847081,0.0345227062,0.0002316960,0.0000000000,0.0000000000,0.0033016682,0.0000000000,0.0079355885,0.0043443003,0.0000579240,0
SRR5224566,0.0000000000,0.0000000000,0.0052470737,0.0014991639,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008072421,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004612812,0.0000000000,0.0000000000,0.0000000000,0.0004036211,0.0089949836,0.0015568241,0.0000000000,0.0023064060,0.0000000000,0.0322320244,0.0092832843,0.0117626708,0.0348843914,0.3641815142,0.0031136482,0.0000000000,0.0009225624,0.0006342617,0.0000000000,0.0002306406,0.0279651733,0.0389782621,0.0034019489,0.0489534683,0.0000000000,0.0006919218,0.0008649023,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119933114,0.0000000000,0.0000000000,0.0005189414,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008072421,0.0000000000,0.0010378827,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002306406,0.0000000000,0.0002883008,0.0000000000,0.0042091910,0.0000000000,0.0000000000,0.0177016664,0.0000000000,0.0001153203,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020181053,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0380556997,0.0000000000,0.0060543159,0.0000000000,0.0000000000,0.0000000000,0.0064002768,0.0002883008,0.0000000000,0.0005766015,0.0444559765,0.0002306406,0.0019604451,0.0260047281,0.0000000000,0.1982355994,0.0000000000,0.0000000000,0.0082454016,0.0019027850,0.0000000000,0.0000000000,0.0102058467,0.0000000000,0.0000000000,0.0010955429,0.0088796633,0.0000000000,0.0000000000,0.0000000000,0.0002306406,0.0000000000,0.0056506948,0.0027676873,0.0004612812,1
SRR5224572,0.0000000000,0.0000000000,0.0263506890,0.0096292452,0.0024793865,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024793865,0.0000000000,0.0000000000,0.0000000000,0.0008072421,0.0006342617,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0242749236,0.0000000000,0.0000000000,0.0661361933,0.0006919218,0.0280804936,0.0045551519,0.0697687828,0.0359799343,0.3998154875,0.0161448423,0.0025947068,0.0072075189,0.0000000000,0.0000000000,0.0000000000,0.0262353687,0.0114743701,0.0000000000,0.0053047339,0.0000000000,0.0000000000,0.0002883008,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0040362106,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003459609,0.0000000000,0.0046128121,0.0000000000,0.0000000000,0.0008649023,0.0000000000,0.0000000000,0.0005189414,0.0000000000,0.0000000000,0.0000000000,0.0075534798,0.0000000000,0.0017874647,0.0000000000,0.0083030618,0.0000000000,0.0000000000,0.0085337024,0.0005189414,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013838436,0.0000000000,0.0009802226,0.0000000000,0.0000000000,0.0000000000,0.0023640662,0.0013261835,0.0025947068,0.0000000000,0.0059389956,0.0015568241,0.0000000000,0.0000000000,0.0120509716,0.0000000000,0.0000000000,0.0051894136,0.0868938477,0.0001153203,0.0035749294,0.0226604394,0.0000000000,0.0337888485,0.0002306406,0.0008649023,0.0008649023,0.0065732572,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007495820,0.0213919160,0.0000000000,0.0000000000,0.0000000000,0.0011532030,0.0000000000,0.0019027850,0.0078417805,0.0000000000,1
SRR5224578,0.000000e+00,0.000000e+00,4.905922e-03,1.616068e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.943553e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.194505e-04,0.000000e+00,1.154335e-04,0.000000e+00,9.811843e-04,0.000000e+00,1.500635e-03,0.000000e+00,3.566894e-02,0.000000e+00,3.566894e-02,2.135519e-03,2.747316e-02,1.154335e-02,2.219208e-01,2.424103e-03,0.000000e+00,1.212051e-03,4.040171e-04,0.000000e+00,0.000000e+00,5.281080e-02,9.546347e-02,1.177421e-02,4.444188e-02,5.771673e-05,0.000000e+00,4.040171e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.846935e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.731502e-04,8.080342e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.617338e-04,0.000000e+00,2.481819e-03,0.000000e+00,2.308669e-04,0.000000e+00,2.308669e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.154335e-03,0.000000e+00,5.771673e-04,0.000000e+00,1.038901e-03,0.000000e+00,0.000000e+00,2.308669e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.558352e-03,0.000000e+00,2.308669e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.250952e-03,1.523722e-02,0.000000e+00,1.212051e-02,1.731502e-04,1.731502e-04,1.731502e-04,5.309939e-03,2.885836e-04,0.000000e+00,0.000000e+00,1.789796e-01,3.463004e-04,8.080342e-04,2.603024e-02,0.000000e+00,1.202239e-01,0.000000e+00,3.463004e-04,1.529493e-02,2.654969e-03,0.000000e+00,0.000000e+00,1.044673e-02,0.000000e+00,0.000000e+00,1.327485e-03,1.027358e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.308669e-04,0.000000e+00,3.174420e-03,4.271038e-03,0.000000e+00,1
SRR5224583,0.000000e+00,0.000000e+00,4.088961e-02,1.482683e-02,2.403568e-02,0.000000e+00,0.000000e+00,1.158346e-04,0.000000e+00,7.355496e-03,5.791729e-05,0.000000e+00,0.000000e+00,2.316692e-04,3.764624e-03,1.158346e-04,1.158346e-03,8.108421e-04,1.447932e-03,5.791729e-04,9.035098e-03,2.722113e-03,6.486737e-03,0.000000e+00,2.397776e-02,9.730105e-03,1.140971e-02,4.633384e-03,6.457778e-02,2.664196e-03,5.038805e-03,1.019344e-02,8.687594e-04,1.621684e-03,5.791729e-05,3.509788e-02,1.366848e-02,2.374609e-03,4.430673e-02,2.316692e-04,1.737519e-04,2.316692e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.895865e-04,1.042511e-03,2.316692e-04,0.000000e+00,4.633384e-04,0.000000e+00,0.000000e+00,3.069617e-03,7.529248e-03,1.621684e-03,0.000000e+00,0.000000e+00,0.000000e+00,8.571760e-03,0.000000e+00,5.791729e-05,1.679602e-03,5.212556e-04,1.615893e-02,0.000000e+00,0.000000e+00,2.316692e-04,6.950075e-04,3.475038e-04,3.590872e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.390015e-02,0.000000e+00,5.907564e-03,0.000000e+00,3.996293e-03,0.000000e+00,0.000000e+00,6.428820e-03,5.212556e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.027105e-03,0.000000e+00,1.911271e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.154639e-03,1.795436e-03,1.198888e-02,0.000000e+00,4.922970e-03,1.158346e-03,0.000000e+00,0.000000e+00,1.019344e-02,0.000000e+00,0.000000e+00,1.042511e-03,2.374030e-01,9.266767e-04,1.737519e-04,2.866906e-02,0.000000e+00,1.066837e-01,0.000000e+00,1.737519e-04,5.820688e-02,3.185451e-03,0.000000e+00,0.000000e+00,5.542685e-02,0.000000e+00,0.000000e+00,9.266767e-04,1.071470e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.505850e-03,0.000000e+00,4.285880e-03,2.519402e-02,2.895865e-04,1
SRR5224590,0.000000e+00,0.000000e+00,3.245436e-02,9.620400e-03,9.968125e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.199652e-02,1.738626e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.390901e-03,0.000000e+00,1.564764e-03,5.795422e-05,3.535207e-03,4.172704e-03,8.113590e-04,2.607940e-03,2.318169e-04,5.215879e-04,1.698059e-02,3.459867e-02,1.472037e-02,2.248624e-02,7.476094e-02,1.622718e-03,8.693132e-04,4.810200e-03,3.245436e-03,1.159084e-04,0.000000e+00,9.701536e-02,9.208925e-02,1.564764e-03,6.021443e-02,1.738626e-04,0.000000e+00,9.272675e-04,0.000000e+00,0.000000e+00,1.738626e-04,0.000000e+00,0.000000e+00,1.738626e-03,7.534048e-04,0.000000e+00,4.636337e-04,0.000000e+00,0.000000e+00,4.056795e-03,4.984063e-03,4.230658e-03,0.000000e+00,1.738626e-04,0.000000e+00,7.534048e-04,0.000000e+00,0.000000e+00,5.215879e-04,5.795422e-05,3.129528e-03,1.159084e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.318169e-04,0.000000e+00,0.000000e+00,0.000000e+00,7.244277e-03,0.000000e+00,2.607940e-03,0.000000e+00,1.043176e-02,0.000000e+00,0.000000e+00,5.297015e-02,0.000000e+00,2.318169e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.709649e-02,0.000000e+00,2.028398e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.101130e-03,4.636337e-04,9.214720e-03,0.000000e+00,6.664735e-03,4.636337e-04,2.318169e-04,0.000000e+00,1.205448e-02,0.000000e+00,0.000000e+00,1.738626e-03,1.309765e-01,0.000000e+00,6.259055e-03,7.655752e-02,0.000000e+00,6.995074e-02,0.000000e+00,6.374964e-04,2.376123e-03,7.128369e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.680672e-03,2.074761e-02,0.000000e+00,2.897711e-04,0.000000e+00,5.737467e-03,0.000000e+00,1.246016e-02,1.332947e-02,6.374964e-04,0
SRR5224600,0.000000e+00,0.000000e+00,1.845965e-01,3.243148e-02,6.071408e-02,2.337404e-04,2.337404e-04,9.349617e-04,4.674809e-04,1.203763e-02,1.753053e-04,0.000000e+00,0.000000e+00,1.642027e-02,4.032022e-03,0.000000e+00,2.571145e-03,1.519313e-03,0.000000e+00,2.220534e-03,2.220534e-03,1.379069e-02,0.000000e+00,8.765266e-04,7.888740e-03,8.180915e-03,4.207328e-03,6.369427e-03,8.999007e-03,2.045229e-03,1.151172e-02,5.200725e-03,2.454275e-03,0.000000e+00,0.000000e+00,3.704786e-02,2.051072e-02,0.000000e+00,1.589435e-02,9.349617e-04,0.000000e+00,8.180915e-04,2.162099e-03,0.000000e+00,0.000000e+00,0.000000e+00,5.843511e-05,3.097061e-03,1.402443e-03,0.000000e+00,2.337404e-04,0.000000e+00,1.168702e-04,5.259160e-03,3.406767e-02,9.349617e-04,3.506106e-04,5.843511e-05,1.460878e-03,0.000000e+00,0.000000e+00,5.843511e-05,2.220534e-03,1.344007e-03,4.715713e-02,0.000000e+00,0.000000e+00,6.778473e-03,0.000000e+00,5.843511e-04,1.344007e-03,0.000000e+00,5.843511e-05,0.000000e+00,4.400164e-02,0.000000e+00,6.836908e-03,1.753053e-04,1.250511e-02,0.000000e+00,0.000000e+00,1.314790e-02,8.473091e-03,0.000000e+00,0.000000e+00,2.045229e-03,5.259160e-04,0.000000e+00,1.419973e-02,0.000000e+00,6.953778e-03,1.168702e-04,1.168702e-04,5.843511e-05,1.519313e-02,1.168702e-03,2.220534e-03,0.000000e+00,4.032022e-03,6.427862e-03,0.000000e+00,3.506106e-04,3.488576e-02,1.168702e-04,0.000000e+00,2.921755e-03,3.541168e-02,2.103664e-03,8.589961e-03,2.793198e-02,0.000000e+00,4.008648e-02,0.000000e+00,2.717233e-02,1.168702e-04,1.671244e-02,8.765266e-04,0.000000e+00,7.012213e-04,0.000000e+00,0.000000e+00,1.519313e-03,1.671244e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.681412e-03,1.168702e-04,6.953778e-03,5.814293e-02,4.090458e-04,0
