Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224549,0.0004042738,0.0000000000,0.2558475310,0.1619405140,0.0025989027,0.0508229859,0.0023678891,0.0488016171,0.0021368755,0.0000000000,0.0019058620,0.0022523823,0.0011550679,0.0918856483,0.0366734046,0.0377129656,0.0118971990,0.0031764366,0.0045047647,0.2440080855,0.0009818077,0.0000000000,0.0000000000,0.0000000000,0.0377707190,0.0011550679,1
SRR5224550,0.000000e+00,0.000000e+00,1.607339e-01,3.037558e-01,1.500029e-03,1.176946e-01,1.211562e-03,3.201985e-02,6.346276e-04,2.307737e-04,1.788496e-03,1.269255e-03,1.500029e-03,2.423124e-02,2.440432e-02,2.965442e-02,6.173196e-03,4.730860e-03,4.846247e-03,2.426585e-01,1.730803e-04,5.769342e-05,0.000000e+00,0.000000e+00,4.073155e-02,0.000000e+00,1
SRR5224560,0.000000e+00,0.000000e+00,1.784683e-02,1.164953e-01,4.331755e-03,3.439991e-01,2.136999e-03,5.948943e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.541296e-03,2.772323e-03,2.252512e-03,5.042162e-02,0.000000e+00,1.397713e-02,4.620538e-04,4.032575e-01,0.000000e+00,0.000000e+00,5.198106e-04,5.775673e-05,3.297909e-02,0.000000e+00,0
SRR5224563,0.0000000000,0.0000000000,0.0376561777,0.3199907450,0.0014460898,0.1760180472,0.0008098103,0.0293845442,0.0004049051,0.0000000000,0.0000000000,0.0000000000,0.0009833410,0.0020823693,0.0017931513,0.0799398427,0.0003470615,0.0077510412,0.0002892180,0.3251388246,0.0000000000,0.0001156872,0.0002313744,0.0000000000,0.0156177696,0.0000000000,0
SRR5224566,0.0000000000,0.0000000000,0.0080110656,0.4694253933,0.0006339692,0.1194743819,0.0015561063,0.0119877817,0.0005187021,0.0000000000,0.0000000000,0.0000000000,0.0008068699,0.0014984727,0.0002305343,0.0221889228,0.0000000000,0.0021324419,0.0000000000,0.3524292548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0091061034,0.0000000000,1
SRR5224572,0.0000000000,0.0000000000,0.0423606709,0.6549478416,0.0000000000,0.0429946401,0.0002881678,0.0040343496,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003458014,0.0061667915,0.0075499971,0.0186156417,0.0005187021,0.0013832056,0.0009797706,0.2089216760,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0108927439,0.0000000000,1
SRR5224578,0.0000000000,0.0000000000,0.0100934364,0.3402929980,0.0004037375,0.2044065059,0.0004037375,0.0028261622,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004614142,0.0036336371,0.0011535356,0.0246856616,0.0000000000,0.0015572730,0.0002307071,0.4021801823,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0076710117,0.0000000000,1
SRR5224583,0.000000e+00,0.000000e+00,9.263959e-02,1.529188e-01,8.652515e-04,9.696585e-02,4.037840e-04,1.390171e-02,1.903553e-03,0.000000e+00,8.537148e-03,4.037840e-04,1.672820e-03,2.226581e-02,1.384402e-02,1.632441e-02,5.191509e-03,2.076604e-03,1.903553e-03,5.369751e-01,0.000000e+00,5.768343e-05,0.000000e+00,0.000000e+00,3.114905e-02,0.000000e+00,1
SRR5224590,0.0000000000,0.0000000000,0.0669477819,0.1824168207,0.0032347505,0.2503465804,0.0010975046,0.0120725508,0.0044477819,0.0000000000,0.0007509242,0.0002888170,0.0005198706,0.0049098891,0.0077402957,0.0657925139,0.0000000000,0.0172712569,0.0020217190,0.3471002773,0.0000000000,0.0006931608,0.0000000000,0.0002888170,0.0320586876,0.0000000000,0
SRR5224600,0.0000000000,0.0000000000,0.3117677613,0.0744502799,0.0024239626,0.0734691522,0.0029433832,0.0454781555,0.0013274081,0.0014428349,0.0000000000,0.0026548162,0.0021931090,0.0574248283,0.0434581866,0.0322617880,0.0083684423,0.0194494142,0.0072141744,0.2425116870,0.0017891153,0.0004039938,0.0000000000,0.0000000000,0.0684480868,0.0005194206,0
